Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,CreditScoreBins
0,1,37.0,3,0.36343046692782716,1,1,0,0.5273757143807233,0
1,1,19.0,5,0.35771579608278414,1,1,0,0.9650768648405922,2
0,0,37.0,4,0.44529266842964016,1,1,1,0.417372559079392,3
0,0,38.0,10,0.0,2,1,1,0.0010235477488100113,0
1,0,38.91621420206537,8,0.0,1,1,0,0.49014655899638415,0
1,0,38.91621420206537,5,0.3799494846692536,1,1,0,0.030593071638341456,2
2,0,33.0,1,0.5769402628772503,1,1,1,0.6624091100700117,3
2,0,51.0,2,0.36766377934563,2,0,1,0.45671586636523787,2
0,0,26.0,5,0.0,2,1,1,0.3235533993496379,3
0,1,40.0,1,0.0,2,1,1,0.5127288656066654,1
0,0,61.0,1,0.0,1,1,0,0.30551407659431473,1
0,1,29.0,7,0.4671211327276346,1,1,1,0.2173660084538073,0
0,1,37.0,7,0.0,1,0,0,0.1642739881658698,3
0,0,38.0,6,0.5266270460647987,1,0,1,0.38032317086281736,2
0,0,34.0,3,0.48138222176183176,1,1,1,0.6586526013234263,1
2,0,37.0,1,0.14169023765784747,2,0,0,0.24834746718311598,1
2,0,44.0,5,0.5596163765136674,2,0,1,0.2857903429777544,1
0,1,31.0,3,0.39663079938153384,1,1,1,0.948318964461106,1
0,0,31.0,7,0.0,2,0,0,0.24659599991799214,0
1,1,34.0,1,0.4828695587120652,1,0,0,0.5967887433249874,1
1,1,36.0,5,0.0,2,1,1,0.48439495971865315,2
2,0,35.0,5,0.32863526382365055,2,0,0,0.0912245619456658,3
0,0,64.0,2,0.0,1,1,1,0.030328096333199817,0
0,0,41.0,5,0.3820609794199709,1,1,1,0.34125408976557264,1
1,0,32.0,6,0.0,1,1,1,0.6643150420865191,0
2,0,43.0,2,0.4529388406264871,4,1,0,0.5755788177770977,1
0,1,26.0,8,0.0,2,1,0,0.8301767818826696,1
0,0,31.0,3,0.3920318006406506,1,0,0,0.10482111041604472,1
0,1,22.0,4,0.0,2,1,0,0.14090035598399644,1
2,1,28.0,7,0.4681822408452771,2,1,1,0.17240886504661193,1
0,1,24.0,8,0.0,2,1,0,0.30671824159207206,3
2,0,59.0,8,0.6082729047479,2,1,1,0.9439437466278028,1
2,1,38.0,9,0.3551706192741444,1,0,0,0.786215183550029,1
0,1,24.0,9,0.5385663956230198,1,0,0,0.44899447897274186,1
2,1,31.0,0,0.4299945447970529,2,1,1,0.9174696183485522,1
0,1,23.0,1,0.0,2,0,0,0.330417804900368,1
1,1,33.0,10,0.0,2,1,0,0.8101318175885797,3
0,1,43.0,9,0.0,2,0,0,0.9529026522032854,0
2,1,50.0,7,0.5567004117089932,2,1,0,0.22792001636156253,0
2,0,49.0,2,0.6028322096832225,2,1,1,0.8362116582133593,0
1,1,33.0,5,0.0,2,1,0,0.3313996486664476,4
0,0,29.0,2,0.4478604839120139,1,1,0,0.928184541623725,0
0,1,21.0,10,0.0,2,0,1,0.6792634696613525,1
2,1,38.91621420206537,3,0.34149024410668094,1,1,1,0.8205441619674678,0
0,1,47.0,0,0.0,1,1,1,0.6691628550526575,1
1,0,40.0,8,0.0,2,1,0,0.4010022957192412,1
2,1,25.0,1,0.4441330342530707,1,1,1,0.8434404985676132,0
0,1,41.0,0,0.0,2,0,1,0.6528395461766598,1
0,1,47.0,1,0.374143740990615,3,1,0,0.7844091110701072,2
0,0,32.0,8,0.5762577148355335,1,1,1,0.43803143200175615,1
1,1,30.0,4,0.3134860452704124,1,1,0,0.00889534950587781,3
0,1,40.0,6,0.5273384903009825,1,0,0,0.5856105258052143,4
1,1,30.0,8,0.7186492730972963,2,1,1,0.009515058688104714,1
0,0,37.0,6,0.0,2,1,0,0.5507063924604799,0
0,1,37.0,8,0.6070339554996215,2,1,1,0.8754367042052515,0
0,0,46.0,2,0.0,2,1,1,0.3329874002967283,1
1,0,42.0,8,0.365132791564894,1,0,0,0.7233876835237765,1
2,1,37.0,8,0.43217897752828655,2,1,1,0.07427444320932648,0
1,0,57.0,4,0.0,2,1,0,0.6832563509815186,2
0,0,25.0,1,0.0,2,0,0,0.43900062455964545,2
0,1,26.0,7,0.0,2,0,1,0.783008027266604,0
2,0,38.0,5,0.4933096939877064,1,0,0,0.23506284850203193,1
1,0,36.0,7,0.46081355182895184,1,1,1,0.35757324824520736,1
0,1,39.0,7,0.0,2,1,0,0.415403421026708,1
0,1,49.0,2,0.3134891939591888,1,1,0,0.0384387709026212,3
1,1,38.0,4,0.4528032477250027,1,1,0,0.4554578962290899,3
0,1,25.0,2,0.3118688946575879,2,1,1,0.052308645475642915,0
1,0,32.0,0,0.0,2,0,1,0.6333806878556901,1
0,1,41.0,6,0.6107614450153847,1,1,0,0.05826311412739916,0
1,1,25.0,7,0.6266632400429991,2,1,0,0.6219159929773292,1
2,1,58.0,7,0.46358890177282747,1,1,1,0.9535149106739693,3
0,0,34.0,2,0.0,2,0,0,0.8269488236126549,1
1,1,35.0,5,0.0,2,1,1,0.31314670551037627,1
0,0,25.0,8,0.5039599544181464,1,1,0,0.6095225093996477,2
1,0,58.0,4,0.0,1,1,0,0.8802062096930257,2
1,1,36.0,8,0.6307807285420148,1,1,1,0.3837023435738113,1
0,1,40.0,4,0.600156023507393,1,0,1,0.1733117512722465,1
0,0,33.0,6,0.48499894917494196,2,1,1,0.41839190642706375,0
0,1,43.0,5,0.0,2,0,0,0.5653920449402918,3
0,0,34.0,10,0.5675157192308639,2,0,1,0.34194295555225523,4
0,1,32.0,3,0.0,2,1,1,0.4434786022065107,1
2,0,49.0,4,0.5478558645065812,1,1,0,0.9209214980030592,3
0,1,40.0,0,0.3915575443400147,1,1,0,0.554430748136447,2
0,1,30.0,9,0.0,2,1,1,0.74445164513211,1
0,1,36.0,4,0.6438191697672948,1,1,0,0.5046948483580181,2
0,0,39.0,1,0.3595765515791691,1,1,0,0.9567858730508764,0
0,1,29.0,2,0.0,1,1,0,0.6316860260154844,2
0,1,57.0,5,0.0,2,1,1,0.6122464695378408,1
0,1,35.0,10,0.22865702166166355,1,1,1,0.5084895107482764,0
0,0,25.0,4,0.48295692486140496,1,1,1,0.28131386547415277,2
0,1,50.0,2,0.46084475971897604,1,1,0,0.9293068988088361,1
2,1,68.0,2,0.3993431755498817,1,1,1,0.1929422259825813,0
0,1,35.0,9,0.0,2,1,0,0.05866715271308409,0
1,1,35.0,2,0.0,2,1,1,0.30483541178182516,0
0,1,42.0,7,0.0,1,1,1,0.28322149765302584,0
1,1,30.0,4,0.0,2,0,1,0.28727518478014646,3
1,1,25.0,4,0.0,2,1,1,0.36934562250694936,3
0,1,39.0,1,0.3894012106668489,1,1,1,0.15350190943235076,0
1,0,61.0,4,0.5175636052071979,2,1,0,0.8510974798093217,3
0,0,36.0,3,0.0,1,1,0,0.32995811099960043,0
0,1,32.0,7,0.0,2,1,0,0.039553727380964875,2
0,0,40.0,7,0.45578246530294436,1,1,0,0.2700625409726629,0
1,1,42.0,9,0.0,2,1,0,0.5956342830740335,1
0,0,22.0,6,0.744481394816517,2,1,0,0.3664110922593108,0
0,1,55.0,9,0.0,2,1,1,0.4722420491156905,0
1,0,32.0,5,0.5801282504781126,1,1,1,0.1573809298788034,1
0,0,38.0,2,0.0,2,1,1,0.2319403002986785,4
0,0,34.0,1,0.25147664535828074,1,1,1,0.20319055469797362,2
0,1,24.0,4,0.0,2,0,0,0.9016773601878978,1
1,1,29.0,1,0.388768364079615,1,1,1,0.9818167134961389,1
0,1,51.0,5,0.0,3,1,0,0.9456468592750608,0
1,1,37.0,1,0.0,1,1,1,0.5301975838692595,1
2,1,37.0,9,0.48827147309092717,1,0,1,0.9985066573857803,4
0,1,49.0,2,0.5861733742173965,1,1,0,0.6027038082136844,0
1,1,34.0,1,0.0,1,1,0,0.6996058123550799,1
2,1,33.0,8,0.3856522781819503,1,1,1,0.8739154589263275,1
1,1,35.0,6,0.546447563630317,1,0,0,0.3843328537875367,1
0,1,33.0,2,0.0,2,0,0,0.6543393394069134,2
0,0,37.0,10,0.4934524611167826,1,1,0,0.40886534664060414,2
0,1,24.0,3,0.0,2,1,0,0.8660014531387746,4
1,0,39.0,7,0.5183445597373819,2,0,0,0.27675047967080857,2
0,1,70.0,8,0.28065877265147776,1,1,1,0.18237711701467488,3
1,1,26.0,6,0.0,2,1,1,0.9290743265981901,2
0,0,58.0,4,0.4572118105801444,1,1,1,0.1815345865530158,0
0,0,48.0,9,0.0,1,1,0,0.7494776251131983,0
0,1,49.0,7,0.3188594620230071,1,0,0,0.6759071991375175,0
2,0,30.0,8,0.617263686622724,1,1,1,0.27092487332540255,4
1,0,29.0,1,0.8349613582152021,1,1,1,0.6663441858697505,2
2,1,57.0,1,0.47845374191569184,1,1,0,0.6618590575399951,0
0,0,38.91621420206537,10,0.0,2,1,0,0.9499976747779413,3
0,1,44.0,10,0.0,2,0,0,0.8214598494156191,1
2,0,38.0,2,0.6323335901042532,2,1,1,0.8972541877749325,0
1,0,38.0,7,0.38604658170175793,1,1,0,0.38753635972235345,1
2,1,38.0,7,0.5291696720369614,2,1,1,0.29554917494620736,2
1,1,34.0,3,0.0,2,1,0,0.13617685488964193,3
1,0,32.0,7,0.6751729357525201,1,1,0,0.3096527718397107,0
0,0,55.0,4,0.48188900122755024,1,0,1,0.6173804598339141,0
1,1,29.0,8,0.509626278940585,1,1,1,0.23335388529604575,0
0,0,40.0,1,0.0,2,1,0,0.971400468744765,4
2,0,45.0,9,0.4646746015483817,1,1,0,0.9471763053371596,4
1,1,38.0,8,0.3971369012813131,1,1,0,0.06209412998941398,2
0,1,34.0,8,0.652683565666044,1,1,1,0.5199920592416576,0
1,0,33.0,9,0.0,1,0,1,0.9168207063774589,0
1,0,31.0,7,0.0,1,1,0,0.23505829806746542,0
1,0,47.0,6,0.626931914866311,2,0,0,0.7364045766370687,0
2,1,39.0,3,0.4770691957041204,1,0,1,0.13063522566405092,3
2,1,71.0,9,0.5681599648686046,2,1,1,0.6125344970444677,3
0,1,43.0,2,0.0,2,1,0,0.16935457336175605,0
0,0,27.0,2,0.0,1,1,1,0.2893499829233692,3
2,1,60.0,9,0.45323326295548927,1,1,0,0.0920720928848705,0
0,0,36.0,0,0.6570418292144035,1,1,1,0.31358424729561674,4
0,1,36.0,6,0.0,2,0,1,0.09611117861755797,2
2,1,34.0,5,0.37508671349391304,2,1,0,0.8862027823657158,3
0,0,36.0,6,0.0,1,1,0,0.35245905984021475,2
2,0,35.0,6,0.5271192777912339,1,1,0,0.5778301327776802,3
2,0,39.0,6,0.5203906494465542,1,1,0,0.04922040054825235,0
0,1,38.91621420206537,6,0.0,1,1,0,0.9369866822281526,4
0,0,26.0,4,0.24954737598839435,2,0,1,0.8968532494853259,4
0,0,48.0,8,0.46119856870971004,2,0,0,0.4160360314410026,2
2,0,61.0,0,0.4989833123081966,1,1,1,0.5467769672003676,0
0,0,24.0,6,0.0,2,1,1,0.06574787892243708,4
1,1,29.0,2,0.0,1,1,1,0.8446448135796968,0
0,0,32.0,5,0.0,1,1,1,0.7534352030618924,2
1,1,38.91621420206537,1,0.608523883143152,1,1,1,0.959901220566564,0
1,0,33.0,6,0.0,2,0,1,0.3648315914169803,1
0,0,35.0,2,0.0,2,0,1,0.13190429686035013,0
2,1,30.0,4,0.5093154754585817,2,1,1,0.14435238565282982,3
0,0,46.0,10,0.42741995365528695,2,1,0,0.18508117525223655,1
0,0,50.0,2,0.36033817555167524,2,0,0,0.24081794811404486,0
0,0,38.91621420206537,5,0.0,2,1,0,0.41482976624267615,1
1,1,34.0,1,0.5481230247707346,1,0,0,0.12376071914867869,1
1,1,25.0,6,0.7726571374058688,1,0,1,0.10795295950763296,0
1,0,42.0,8,0.3801815310750274,1,1,1,0.378639510073212,2
0,1,31.0,7,0.469064351984505,1,1,1,0.796740338702346,3
0,0,47.0,8,0.24748976765825523,3,0,0,0.04648703951227342,1
1,1,30.0,3,0.5318746746936177,1,0,0,0.01571835110253029,1
0,0,22.0,8,0.0,2,1,1,0.46302121852636924,2
1,1,38.0,2,0.0,1,1,1,0.41353059217155236,2
0,0,38.91621420206537,9,0.0,2,0,0,0.5152023018198237,2
0,1,40.0,0,0.4366007329908331,1,1,1,0.8318755941192383,0
2,0,38.91621420206537,4,0.7273533648661894,1,1,0,0.9291844371137443,0
0,1,32.0,1,0.0,1,1,1,0.5099215975125625,1
0,1,69.0,3,0.0,2,1,1,0.2915702449583935,2
0,0,31.0,5,0.5476777045213856,1,0,1,0.8092942876044662,0
0,0,31.0,6,0.0,1,0,0,0.3066035306371758,2
0,0,37.0,5,0.0,2,1,0,0.5770137548135846,2
2,1,34.0,6,0.43348384995676936,2,1,0,0.8316454721425895,3
1,0,35.0,6,0.0,2,0,0,0.012062751992815314,1
0,0,39.0,6,0.0,2,0,0,0.41707768091852765,2
0,0,38.0,0,0.5417312264114884,1,1,0,0.4021087513857573,0
2,1,43.0,2,0.15561413799523147,2,1,1,0.8771443172823004,2
1,1,21.0,1,0.0,2,0,0,0.5194984621031309,0
2,0,35.0,7,0.5116410013324534,2,1,0,0.9913175208232385,0
0,1,37.0,4,0.0,1,1,1,0.27884792997731284,0
0,0,44.0,7,0.0,2,0,0,0.31182522930939904,0
0,1,59.0,2,0.41449793420109343,1,1,1,0.5157869076496805,1
2,0,43.0,3,0.4891130498442615,2,1,1,0.4349855911239523,1
0,1,34.0,5,0.48806019208834955,2,1,0,0.6944233174268143,2
0,0,62.0,1,0.49692825481453456,1,1,0,0.354555960094189,4
1,1,39.0,5,0.6787153301964157,1,1,1,0.2979763067372934,1
1,0,41.0,5,0.1119297081934741,1,1,0,0.34790667508747086,1
0,1,37.0,0,0.4813272193502948,1,1,1,0.5851133783276302,0
2,0,34.0,2,0.43209125266756715,2,1,0,0.51453578816777,4
1,1,34.0,0,0.6051830047809452,1,1,0,0.5114899972947416,0
0,1,32.0,5,0.0,1,0,0,0.7438585384904257,1
